run_name,log_path,checkpoint_path,arch,n_fibers,seed,train_samples,pretrained,source_n_fibers,transfer_strategy,best_val_loss,nrmse,wmse,ssim_score,median_max_err,peak_loc_err
attn_wmse_nf6_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attn_wmse_nf6_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attn_wmse_nf6_seed42.pth,attention_unet,6,42,,False,,scratch,0.000707371257400761,0.023011154532618112,0.0007720193243585527,0.8999099731445312,0.12243067601063232,25.076519012451172
attn_wmse_nf6_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attn_wmse_nf6_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attn_wmse_nf6_seed43.pth,attention_unet,6,43,,False,,scratch,0.0007429148924226562,0.028167325980758887,0.0012323864502832294,0.8890317678451538,0.13819412564991762,36.9071044921875
attn_wmse_nf6_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_attn_wmse_nf6_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_attn_wmse_nf6_seed44.pth,attention_unet,6,44,,False,,scratch,0.0009814586956053972,0.026506846972822684,0.0011062982957810163,0.8954674005508423,0.1596010745498314,39.043975830078125
cnn_combined_nf6_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_cnn_combined_nf6_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_cnn_combined_nf6_seed42.pth,cnn,6,42,,False,,scratch,0.029216057310501736,0.02378314558105111,0.0008236189605668187,0.8986272811889648,0.12660317266515542,24.47651481628418
cnn_combined_nf6_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_cnn_combined_nf6_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_cnn_combined_nf6_seed43.pth,cnn,6,43,,False,,scratch,0.027136108527580898,0.02710494341638763,0.0011902378173545003,0.9014225006103516,0.14531257767725794,38.57682800292969
cnn_combined_nf6_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_cnn_combined_nf6_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_cnn_combined_nf6_seed44.pth,cnn,6,44,,False,,scratch,0.02997509886821111,0.03196693185094436,0.0018276076298207045,0.8828484416007996,0.15011240579362917,29.287845611572266
resnet34_attn_combined_nf6_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_resnet34_attn_combined_nf6_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_resnet34_attn_combined_nf6_seed42.pth,resnet34_attention_unet,6,42,,False,,scratch,0.023924512167771656,0.024788652945167338,0.001043146476149559,0.9164706468582153,0.10533874687299435,41.2738037109375
resnet34_attn_combined_nf6_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_resnet34_attn_combined_nf6_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_resnet34_attn_combined_nf6_seed43.pth,resnet34_attention_unet,6,43,,False,,scratch,0.02075026122232278,0.027843883328777085,0.001415773993358016,0.9204591512680054,0.14724400925288497,38.27819061279297
resnet34_attn_combined_nf6_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_resnet34_attn_combined_nf6_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_resnet34_attn_combined_nf6_seed44.pth,resnet34_attention_unet,6,44,,False,,scratch,0.02399422911306222,0.02995102045547817,0.001638318644836545,0.9080603718757629,0.14981478690627664,36.56005096435547
unet_combined_nf6,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_combined_nf6.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_combined_nf6.pth,unet,6,,,False,,scratch,0.05710413604974747,0.04096173205088468,0.0029310151003301144,0.8037425875663757,0.20604554198425412,52.3534049987793
unet_combined_nf6_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_combined_nf6_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_combined_nf6_seed42.pth,unet,6,42,,False,,scratch,0.024090072140097618,0.025315936468054988,0.0008882147376425564,0.916583240032196,0.15076872333704633,38.48139190673828
unet_combined_nf6_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_combined_nf6_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_combined_nf6_seed43.pth,unet,6,43,,False,,scratch,0.02249336987733841,0.028720832661245723,0.0015217794571071863,0.9144741296768188,0.1408201398981604,35.982688903808594
unet_combined_nf6_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_combined_nf6_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_combined_nf6_seed44.pth,unet,6,44,,False,,scratch,0.02637285180389881,0.030166914240256547,0.0016080597415566444,0.9084709286689758,0.1824256168206152,45.917503356933594
unet_mse_nf6,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_mse_nf6.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_mse_nf6.pth,unet,6,,,False,,scratch,0.002122541260905564,0.0381118744564215,0.00231053470633924,0.8006554841995239,0.17280710705123875,44.317909240722656
unet_mse_nf6_seed42,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_mse_nf6_seed42.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_mse_nf6_seed42.pth,unet,6,42,,False,,scratch,0.0005282816321899494,0.023473703567562176,0.0005510147893801332,0.9015331268310547,0.1190832267514686,38.72821807861328
unet_mse_nf6_seed43,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_mse_nf6_seed43.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_mse_nf6_seed43.pth,unet,6,43,,False,,scratch,0.0004936194551798204,0.026522442447626873,0.0007034398731775582,0.9078222513198853,0.128715042324993,31.86087989807129
unet_mse_nf6_seed44,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\log_unet_mse_nf6_seed44.json,C:\Users\SSM11011\Documents\ME 228\outputs\checkpoints\best_unet_mse_nf6_seed44.pth,unet,6,44,,False,,scratch,0.0006817718385718763,0.028144820460461732,0.0007921310025267303,0.8773099184036255,0.15638653014032333,36.742942810058594
